SampleID,Height,del13Ctoc,Strat,Section,Reference
HinA(-1),553,-27.6,Post-event Beds,Hochalplgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
HinA0,573,-27.8,Post-event Beds,Hochalplgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
HinA1,603,-27.8,Post-event Beds,Hochalplgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
HinA2,623,-28.1,Post-event Beds,Hochalplgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
HinA3,643,-28.2,Post-event Beds,Hochalplgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
HinA4,668,-28.3,Post-event Beds,Hochalplgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
HinA5,693,-28.1,Post-event Beds,Hochalplgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
Ho 1,701,-28.7,Post-event Beds,Hochalplgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
HinA6,713,-28.2,Post-event Beds,Hochalplgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
Ho 2,721,-27.8,Post-event Beds,Hochalplgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
HinA7/ Ho 3,741,-27.9,Post-event Beds,Hochalplgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
HinA8/ Ho 4,761,-28.5,Post-event Beds,Hochalplgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
Ho 5,781,-28,Post-event Beds,Hochalplgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
HinA9,786,-27.8,Post-event Beds,Hochalplgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
HinA10/ Ho 6,801,-28,Post-event Beds,Hochalplgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
HinA11/ Ho 7,821,-26.8,Post-event Beds,Hochalplgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
Ho 8,841,-26.6,Post-event Beds,Hochalplgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
Ho 9,861,-26.9,Post-event Beds,Hochalplgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
HinA12,864,-26.7,Post-event Beds,Hochalplgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
Ho 10,881,-26.8,Post-event Beds,Hochalplgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
HinA13,889,-26.7,Post-event Beds,Hochalplgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
Ho 11,901,-26.7,Post-event Beds,Hochalplgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
HinA14,924,-26.9,Post-event Beds,Hochalplgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
HinA15,944,-26.9,Post-event Beds,Hochalplgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
Ho 12,961,-27,Post-event Beds,Hochalplgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
HinA16,969,-26.8,Post-event Beds,Hochalplgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
Ho 13,1021,-27,Post-event Beds,Hochalplgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
Ho 14,1081,-26.3,Post-event Beds,Hochalplgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
Ho 15,1141,-27,Post-event Beds,Hochalplgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
Ho 16,1201,-28.2,Post-event Beds,Hochalplgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
Ho 17,1234,-27.9,Post-event Beds,Hochalplgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
Ho 18,1268,-27.7,Post-event Beds,Hochalplgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
Ho 19,1301,-26.9,Post-event Beds,Hochalplgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
Ho 20,1334,-26.9,Post-event Beds,Hochalplgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
Ho 21,1368,-27,Post-event Beds,Hochalplgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
Ho 22,1401,-25.7,Post-event Beds,Hochalplgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
Ho 23,1434,-25.7,Post-event Beds,Hochalplgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
Ho 24,1468,-25.7,Post-event Beds,Hochalplgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
Ho 25,1501,-25.5,Post-event Beds,Hochalplgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
Ho 26,1541,-25.8,Post-event Beds,Hochalplgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
Ho 27,1581,-26.1,Post-event Beds,Hochalplgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
Ho 28,1621,-25.8,Post-event Beds,Hochalplgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
Ho 29,1661,-26.1,Post-event Beds,Hochalplgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
Ho 30,1701,-26.9,Post-event Beds,Hochalplgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
Ho 31,1741,-26.8,Post-event Beds,Hochalplgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
Ho 32,1781,-26.5,Post-event Beds,Hochalplgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
Ho 33,1821,-27.9,Post-event Beds,Hochalplgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
Ho 34,1861,-26.6,Post-event Beds,Hochalplgraben,"Ruhl M, Kürschner WM, Krystyn L (2009) Triassic-Jurassic organic carbon isotope stratigraphy of key sections in the western Tethys realm (Austria). Earth and Planetary Science Letters 281:169–187"
